city,district,amenity,count
Минск,Партизанский район,restaurant,17
Минск,Центральный район,fast_food,16
Минск,Первомайский район,pharmacy,64
Минск,Партизанский район,cafe,57
Минск,Заводской район,school,47
Минск,Заводской район,kindergarten,74
Минск,Фрунзенский район,hospital,17
Минск,Октябрьский район,university,14
Минск,Первомайский район,college,6
Минск,Октябрьский район,hospital,20
Минск,Фрунзенский район,university,2
Минск,Ленинский район,cafe,97
Минск,Заводской район,restaurant,10
Минск,Московский район,restaurant,24
Минск,Первомайский район,university,10
Минск,Советский район,kindergarten,40
Минск,Советский район,school,32
Минск,Первомайский район,hospital,24
Минск,Партизанский район,kindergarten,28
Минск,Заводской район,cafe,52
Минск,Ленинский район,restaurant,23
Минск,Партизанский район,school,17
Минск,Октябрьский район,college,2
Минск,Московский район,cafe,83
Минск,Центральный район,college,3
Минск,Фрунзенский район,pharmacy,101
Минск,Первомайский район,fast_food,23
Минск,Октябрьский район,pharmacy,59
Минск,Центральный район,pharmacy,43
Минск,Заводской район,fast_food,13
Минск,Фрунзенский район,kindergarten,89
Минск,Фрунзенский район,school,57
Минск,Московский район,fast_food,20
Минск,Центральный район,kindergarten,28
Минск,Центральный район,school,24
Минск,Ленинский район,fast_food,11
Минск,Советский район,college,6
Минск,Октябрьский район,kindergarten,38
Минск,Октябрьский район,school,26
Минск,Партизанский район,college,11
Минск,Ленинский район,hospital,17
Минск,Московский район,university,19
Минск,Первомайский район,restaurant,27
Минск,Заводской район,university,9
Минск,Заводской район,hospital,19
Минск,Первомайский район,cafe,100
Минск,Партизанский район,pharmacy,31
Минск,Советский район,pharmacy,67
Минск,Ленинский район,university,16
Минск,Московский район,hospital,24
Минск,Октябрьский район,restaurant,17
Минск,Фрунзенский район,cafe,79
Минск,Партизанский район,fast_food,4
Минск,Советский район,fast_food,33
Минск,Центральный район,restaurant,55
Минск,Октябрьский район,cafe,62
Минск,Заводской район,college,3
Минск,Фрунзенский район,restaurant,22
Минск,Центральный район,cafe,140
Минск,Московский район,college,4
Минск,Партизанский район,university,12
Минск,Ленинский район,pharmacy,69
Минск,Советский район,university,13
Минск,Заводской район,pharmacy,42
Минск,Московский район,pharmacy,90
Минск,Первомайский район,kindergarten,51
Минск,Первомайский район,school,43
Минск,Советский район,hospital,18
Минск,Партизанский район,hospital,29
Минск,Октябрьский район,fast_food,17
Минск,Ленинский район,kindergarten,51
Минск,Ленинский район,school,41
Минск,Советский район,restaurant,22
Минск,Московский район,kindergarten,63
Минск,Фрунзенский район,fast_food,18
Минск,Московский район,school,45
Минск,Советский район,cafe,97
Минск,Центральный район,university,7
Минск,Центральный район,hospital,20
Минск,Фрунзенский район,college,3
